scheme,ECMAC
BGTI,0
seed,0
density,5
NumVeh,78
ClusterLayers,2
ClusterSize,6
ClusterNum,7
meanSlotCountByTSAlgo,9.72727
meanSlotCountOptimal,6
gPeQueuePkts,0
gPeQueueDelPkts,0
gPeQueueExpiredPkts,0
gPeBitErrPkts,12853
gPeTxWhileSendPkts,1519
gPePhyDropPkts,0

