scheme,ECMAC
BGTI,0
seed,8
density,5
NumVeh,78
ClusterLayers,2
ClusterSize,6
ClusterNum,7
meanSlotCountByTSAlgo,12.2222
meanSlotCountOptimal,6
gPeQueuePkts,0
gPeQueueDelPkts,0
gPeQueueExpiredPkts,0
gPeBitErrPkts,23093
gPeTxWhileSendPkts,2336
gPePhyDropPkts,0

