scheme,ECMAC
BGTI,0
seed,7
density,5
NumVeh,78
ClusterLayers,2
ClusterSize,6
ClusterNum,7
meanSlotCountByTSAlgo,9.625
meanSlotCountOptimal,6
gPeQueuePkts,0
gPeQueueDelPkts,0
gPeQueueExpiredPkts,0
gPeBitErrPkts,13456
gPeTxWhileSendPkts,1247
gPePhyDropPkts,0

