scheme,ECMAC
BGTI,0
seed,7
density,5
gPeTxPackets,124
gPeRxPackets,62
gPeRxDropPkts,7517
PDR,0.5
maxE2EDelay,0.0198562
meanE2EDelay,0.0130218

